"Product Id","Product Name","Category Id","Category","Sub Category Id","Sub Category","Teritary Category Id","Teritary Category","Quantity Available","Quantity Allocated","Unit Price","Cost Price","Other Basic Field 1","Other Basic Field 2","Other Basic Field 3","Other Basic Field 4","Other Basic Field 5","Tag 1","Tag 2","Tag 3","Tag 4","Tag 5","Additional Description","Price","Compart At Price_MSRP","Cost Per Item","Is Charge Tax","Stock Keeping Unit","Barcode","is Track Quantity","Is Out Of Stock","Media 1","Media 2","Media 3","Media 4","Media 5","Is Drop Shipping","Is Physical Product","Weight","Supplier Id","Supplier","Document 1","Document 2","Document 3","Document 4","Document 5","Is Variants","Variants Title 1","Variants Title 2","Variants Title 3","Variants Title 4","Variants Title 5","Variants Description 1","Variants Description 2","Variants Description 3","Variants Description 4","Variants Description 5","Weight And Dimension 1","Weight And Dimension 2","Weight And Dimension 3","Weight And Dimension 4","Weight And Dimension 5","Weight And Dimension Description 1","Weight And Dimension Description 2","Weight And Dimension Description 3","Weight And Dimension Description 4","Weight And Dimension Description 5","Image Reference1","Image Reference2","Image Reference3","Image Reference4","Image Reference5","Specification 1","Specification 2","Specification 3","Specification 4","Specification 5","Specification Description 1","Specification Description 2","Specification Description 3","Specification Description 4","Specification Description 5","Active"
"MYUP-1647841502660","glass",24,"Home",33,"tools and utility",40,"Umbreela",2,,,,,,,,,,,,,,,150,200,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://aman-project-development.s3.ap-south-1.amazonaws.com/images/inventory_1647841417603_75275.jpg",,,,,,,,,,,,,,,true
"HORR-1647424241809","acer Aspire 5 Core i5 11th Gen - (8 GB/1 TB HDD/Windows 10 Home) A514-54 Thin and Light Laptop ",23,"electronics",34,"Computer",41,"Laptop",40,40,,,,,,,,"best",,,,,,500,800,300,,"AL2345","0hcew2p0aaqaf7q1ewa14",,,"https://aman-project-development.s3.ap-south-1.amazonaws.com/media/inventory_1647423877536_32806.mp4",,,,,,,"1",,,"https://aman-project-development.s3.ap-south-1.amazonaws.com/documents/inventory_1647423889919_47928.pdf",,,,,true,"OS","OS",,,,"Windows","Windows",,,,"Height","Height","Height",,,"10mm","10mm","10mm",,,,,,,,"Random Title","Random Title",,,,"Random DescRandom DescRandom Desc","Random DescRandom DescRandom Desc",,,,true
"PYXH-1647424242140","Nescafe Classic Instant Coffee - (200 g)",24,"Home",31,"Kitchen",50,"Mood",50,10,,,,,,,,"best","fresh",,,,,400,600,300,,"NC201","fboaxpidr4do38hbgdkea",,,,,,,,,,"200",,,"https://aman-project-development.s3.ap-south-1.amazonaws.com/documents/inventory_1647090581584_33930.pdf",,,,,,"TASTE","TASTE",,,,"Good","Good",,,,"Width","Width",,,,"400mm","400mm",,,,,,,,,"Brand","Brand","Brand",,,"Nescafe","Nescafe","Nescafe",,,true
"MSRR-1647424242174","Readmi powerbank",23,"electronics",35,"Powerbank",42,"Readmi powerbank",50,10,9,33,,,,,,,,,,,,2500,3000,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true
"BBPY-1647424242187","Home cotton",22,"furniture",36,"floor covering",43,"Home cotton",50,10,9,22,,,,,,,,,,,,5000,5400,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true
"NKEC-1647424242199","concealer",28,"skin care",39,"daily care",47,"conceal",50,10,,,,,,,,"best product","best",,,,,400,200,30,,"20","xs51x685l3w0ye2pp6or",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true
"REHV-1647424242223","straightner",24,"Home",28,"Living room",35,"sofa",50,10,,,,,,,,,,,,,,6000,456,44,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true
"LZWN-1648108405901","Shoba 01",22,"furniture",29,"Sofa set",36,"SOfa bed",100,80,,,,,,,,"tag 1","tag 2","tag 3",,,"<p style=""margin-left:40px;"">adsdjfsajfldjf k;sdahfkhdsf sdklfhlkadsf skdhfklasd hfkdslhflkds afkjladsflkdsfh askjlfhldskfh adshfkads jfkjlsahfkladshjsda fksdhfkladshfkld hfkjldshfklash fdsjkfhlkads fsdalhfksdhf sdkjfhasklf sdklfhkladshf ldsfhkladsjfdkl fkasjdlfhkldfh daskhfkljdshfkashfdksfhlaksdhfkdsjfhkdashf kdshfkldashfkljdashfklsdhfkldshfkljasdhfkjdshfkjlashfkldshfklashfkasdhfklajshfkjdshfkljadshfkldshfkasjhfkdsjhfklashfkldshfakshfladskfaldhflkadshflkdhfkjldshfkjalshflkdhflkasdhfkjlhfladkhfkdahfadjklfhdskfhasklhfdslk fkadslfhldsk fsklfhkldshflka dfladshfkdhfkasdlkf dsfklahldkf hdskljfhasdl fdsklfhadsklf dskfhldskhflkd</p>",10000,15000,1000,,"5","u3xw5r71hknhm5sanhlw",true,true,"https://aman-project-development.s3.ap-south-1.amazonaws.com/media/inventory_1648107163271_29665.mov",,,,,true,true,"5",102,,"https://aman-project-development.s3.ap-south-1.amazonaws.com/documents/inventory_1648108317619_20023.pdf",,,,,true,"title 1","title 2",,,,"Comma ","comma, comma ",,,,"title 2","title 4",,,,"description 23","description 78",,,,"https://aman-project-development.s3.ap-south-1.amazonaws.com/images/inventory_1648108380152_52661.jpeg",,,,,"title 2",,,,,"description",,,,,true
"CHSG-1647424241832","Samsung M30",23,"electronics",25,"Mobile",29,"samsung",50,10,9,77,,,,,,,,,,,,10000,10050,10500,,"10","58",,,,,,,,true,true,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true
"TLKJ-1647424241852","test today",22,"furniture",26,"chair",32,"plastic chair",50,10,,,,,,,,,,,,,,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"title",,,,,"desc",,,,,,,,,,,,,,,,,,,,true
"WITN-1647424241868","earbuds",23,"electronics",22,"Audio",27,"wireless",50,10,1,25,,,,,,,,,,,,1000,1200,1000,,,,,,,,,,,,,,,,"https://aman-project-development.s3.ap-south-1.amazonaws.com/documents/inventory_1646738742163_12247.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true
"YSIQ-1647928411027","Lenskart",43,"opticals",54,"colour",61,"glass",8,3,,,,,,,,"tagmobile",,,,,"<p>lenskart is mirror shop</p>",1500,150,10,,,"j7yw9q3ny0j88tj5166jv4",,,,,,,,,,,,,"https://aman-project-development.s3.ap-south-1.amazonaws.com/documents/inventory_1647928319913_32795.txt",,,,,true,"length",,,,,"20mm",,,,,"length",,,,,"width",,,,,"https://aman-project-development.s3.ap-south-1.amazonaws.com/images/inventory_1647928382994_40726.jpg",,,,,,,,,,,,,,,true
"KIAU-1648114186250","chair",22,"furniture",26,"chair",32,"plastic chair",8,20,,,,,,,,,,,,,,1200,120,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://aman-project-development.s3.ap-south-1.amazonaws.com/images/inventory_1648114160868_16253.jpg",,,,,,,,,,,,,,,true
