23/3/2022 5:03 | /responses.js(139) | lMTHtD43icMR5l6Qycf2v1xiA9D95dgV | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/forgetPassword/reset | Request : {} | Error : Bad Request
23/3/2022 5:03 | /responses.js(139) | 0gmrRRDlW9FbMR1Dw3SXjisva8NhOcTK | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/forgetPassword/reset | Request : {} | Error : Bad Request
23/3/2022 5:03 | /responses.js(139) | SgNMojuSJZTuAw0Oi2l33mKeBl7IUu1n | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/forgetPassword/reset | Request : {} | Error : Bad Request
23/3/2022 5:34 | /responses.js(139) | eNDo65zgi5VAn8qpOI9AJbfkLvk3pfD9 | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signup | Request : {} | Error : Bad Request
23/3/2022 5:34 | /responses.js(139) | uP8TVcmur0UauDSakMbPwCVXZxAY7pcb | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signup | Request : {} | Error : Bad Request
23/3/2022 5:34 | /responses.js(139) | A2xcPVA7XBwKX6EVQ46I2J4nFAtb4xDm | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signup | Request : {} | Error : Bad Request
23/3/2022 5:34 | /responses.js(139) | w9kGhHAqEqnaShrVedzjnLlBgGmifEpO | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signup | Request : {} | Error : Bad Request
23/3/2022 5:34 | /responses.js(139) | plkh0JfnauaxSi2hUbqflT74rpI5tQyD | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signup | Request : {} | Error : Bad Request
23/3/2022 6:30 | /responses.js(139) | eKkZdkqKWESVcM8i4oMYV9A9KrB7AcJC | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/completeForm | Request : {} | Error : Bad Request
23/3/2022 6:30 | /responses.js(139) | d9ttg9zkEdImB4Nkek7HX4mjQST7MScR | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/completeForm | Request : {} | Error : Bad Request
23/3/2022 6:30 | /responses.js(139) | EPEBZBv30Tbgk5VAUxfusLKlKuXZHcQP | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/completeForm | Request : {} | Error : Bad Request
23/3/2022 6:40 | /responses.js(139) | a5SjM3XhAue99JRqdvviP7G8O3F3SIUg | [error] | URL : http://doodlebluelive.com:2122/api/v1/roles/addRole | Request : {} | Error : Bad Request
23/3/2022 6:48 | /responses.js(139) | 5mtM0L0oi7mc51eNecMLukBl15Z666TB | [error] | URL : http://doodlebluelive.com:2122/api/v1/roles/addRole | Request : {} | Error : Bad Request
23/3/2022 6:56 | /responses.js(139) | Fu7Bu75Anu8S7jFi2SOIt21Dkej89Fwk | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/createAdmin | Request : {} | Error : Bad Request
23/3/2022 6:56 | /responses.js(139) | tZgWP36eC6NsPFoGkPEO6oLEldLYLynm | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/createAdmin | Request : {} | Error : Bad Request
23/3/2022 6:56 | /responses.js(139) | zbmKD6c3QMIiJTEpwn0fg7bWO0RMOQiS | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/createAdmin | Request : {} | Error : Bad Request
23/3/2022 6:57 | /responses.js(139) | iM3in2smxNNZRUxRSJnsSOQvOgd9M2jd | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/createAdmin | Request : {} | Error : Bad Request
23/3/2022 6:57 | /responses.js(139) | v4cd28YN0g4nZo3MTN3SI1T4ICEIuZlm | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/createAdmin | Request : {} | Error : Bad Request
23/3/2022 6:57 | /responses.js(139) | U14C4h8ket0dFzzfnhNT5gREcsgGiOZ2 | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/createAdmin | Request : {} | Error : Bad Request
23/3/2022 6:58 | /responses.js(139) | FrhdFcsv1w5kgzKNWlE1o82DNwadBIau | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/createAdmin | Request : {} | Error : Bad Request
23/3/2022 6:58 | /responses.js(139) | jREIZJzfP4CnZ2xKxmTJKew73OsyeMX2 | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/createAdmin | Request : {} | Error : Bad Request
23/3/2022 6:58 | /responses.js(139) | D882KPqE3tIIg48OKxcEYkQXZRWh9Y3Q | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/createAdmin | Request : {} | Error : Bad Request
23/3/2022 7:08 | /responses.js(139) | uCnbPMUOGXT64onuJwsas1icoFes6i6y | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signup | Request : {} | Error : Bad Request
23/3/2022 7:09 | /responses.js(139) | jknRzibQuAz7Kcvoyl94TBypeBT5njN0 | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signup | Request : {} | Error : Bad Request
23/3/2022 7:33 | /responses.js(139) | tbthvlAlN6C55HikCiMNdWfbku2FRxOK | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/forgetPassword | Request : {} | Error : Bad Request
23/3/2022 7:33 | /responses.js(139) | PKA5o2pZ65gXQtgLSInAabs4sNdwYtE5 | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/forgetPassword | Request : {} | Error : Bad Request
23/3/2022 7:36 | /responses.js(139) | YbfiPeSR8qab8KC6OU07WCKxwiJAJ0ec | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/forgetPassword | Request : {} | Error : Bad Request
23/3/2022 7:36 | /responses.js(139) | i1bSevmU5wRRJ4Pn7kAMJFueKs6aUZHw | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/forgetPassword | Request : {} | Error : Bad Request
23/3/2022 7:38 | /responses.js(139) | LLrH2BEfNDwCXvp7v0gLzp6IHBp1MYot | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/forgetPassword/reset | Request : {} | Error : Bad Request
23/3/2022 8:36 | /responses.js(139) | IRvO9nAdPURnsQlh9PGgxJ4oXJYpigf7 | [error] | URL : http://doodlebluelive.com:2122/api/v1/land/createLand | Request : {} | Error : Bad Request
23/3/2022 8:36 | /responses.js(139) | trC6xBGTrEwMz5DICR3e0z9eBuHk2qTK | [error] | URL : http://doodlebluelive.com:2122/api/v1/land/createLand | Request : {} | Error : Bad Request
23/3/2022 8:36 | /responses.js(139) | La3NxESR4ILcAYE7KXXARhbttzTsxDii | [error] | URL : http://doodlebluelive.com:2122/api/v1/land/createLand | Request : {} | Error : Bad Request
23/3/2022 8:37 | /responses.js(139) | 2by3b9wL1Xpoon6Qwa9QHPwhBWOgRTGK | [error] | URL : http://doodlebluelive.com:2122/api/v1/land/createLand | Request : {} | Error : Bad Request
23/3/2022 8:43 | /responses.js(139) | wG6S49PajhdLhmscseyv06yDhfT9AaTJ | [error] | URL : http://doodlebluelive.com:2122/api/v1/land/createLand | Request : {} | Error : Bad Request
23/3/2022 8:43 | /responses.js(139) | Js2tSlOUDVsak5q5CVqd1mBYrddJlblS | [error] | URL : http://doodlebluelive.com:2122/api/v1/land/createLand | Request : {} | Error : Bad Request
23/3/2022 8:43 | /responses.js(139) | 57VwdkCm3OJI6L1BK4hjqr6gDFCEGcGw | [error] | URL : http://doodlebluelive.com:2122/api/v1/land/createLand | Request : {} | Error : Bad Request
23/3/2022 8:44 | /errorHandler.js(7) | TCcjlsL6tIlBSiJ24EpaPS7yPWthyfJG | [error] | IP - ::ffff:117.197.179.61 | URL : http://doodlebluelive.com:2122/api/v1/land/bulk | POST | Request : {} | Error : Can't find end of central directory : is this a zip file ? If it is, see https://stuk.github.io/jszip/documentation/howto/read_zip.html
23/3/2022 8:44 | /errorHandler.js(7) | Gx3fFgcwoHMCxUYFR9GQQrLj0GOHqWWq | [error] | IP - ::ffff:117.197.179.61 | URL : http://doodlebluelive.com:2122/api/v1/land/bulk | POST | Request : {} | Error : Can't find end of central directory : is this a zip file ? If it is, see https://stuk.github.io/jszip/documentation/howto/read_zip.html
23/3/2022 8:44 | /errorHandler.js(7) | vWJHLK1Sxr2VtDHmGiQiiRZS02w5wjQz | [error] | IP - ::ffff:117.197.179.61 | URL : http://doodlebluelive.com:2122/api/v1/land/bulk | POST | Request : {} | Error : Can't find end of central directory : is this a zip file ? If it is, see https://stuk.github.io/jszip/documentation/howto/read_zip.html
