13/4/2022 5:42 | /responses.js(137) | U1zqPixCH9W6QaZfIXFGKG2itYLstiLv | [error] | URL : http://doodlebluelive.com:2122/api/v1/roles/addRole | Request : {} | Error : Bad Request
13/4/2022 5:43 | /responses.js(137) | kc0kIxZhsBu8K7oxDotDACc2omtDv17s | [error] | URL : http://doodlebluelive.com:2122/api/v1/roles/addRole | Request : {} | Error : Bad Request
13/4/2022 6:41 | /responses.js(137) | FSMDoB0B6zerfXbBPV5N7NH8QZ6RMMtW | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/editAdmin?id=625670606d98269574ee030a | Request : {} | Error : Bad Request
13/4/2022 6:41 | /responses.js(137) | VKOlcFETAX9lirMoW0UZZkb2h06ReSxh | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/editAdmin?id=625670606d98269574ee030a | Request : {} | Error : Bad Request
13/4/2022 6:41 | /responses.js(137) | GBnEGAYXSOnoIb0tgENvdMXvgIUAYB9c | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/editAdmin?id=625670606d98269574ee030a | Request : {} | Error : Bad Request
13/4/2022 6:41 | /responses.js(137) | 8ygG6GFEjlLPyoZqS7kKeblgurlGEvZh | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/editAdmin?id=625670606d98269574ee030a | Request : {} | Error : Bad Request
13/4/2022 6:41 | /responses.js(137) | q09jj2h8QVL0ddhIZ6X8aHOkU5gf890z | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/editAdmin?id=625670606d98269574ee030a | Request : {} | Error : Bad Request
13/4/2022 6:41 | /responses.js(137) | SUW5ataFb3L0XmLAC5yVtZesncxkVvcd | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/editAdmin?id=625670606d98269574ee030a | Request : {} | Error : Bad Request
13/4/2022 6:41 | /responses.js(137) | iydtXx50huZA1xH4ygNhNz8tpxFLQNlj | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/editAdmin?id=625670606d98269574ee030a | Request : {} | Error : Bad Request
13/4/2022 6:41 | /responses.js(137) | AqCINST3l0I51aSbQF34HpNGrBGxCRBV | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/editAdmin?id=625670606d98269574ee030a | Request : {} | Error : Bad Request
13/4/2022 6:41 | /responses.js(137) | WtoOSRCsWAWHKBfRJvkESJ3drQNx1D8X | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/editAdmin?id=625670606d98269574ee030a | Request : {} | Error : Bad Request
13/4/2022 6:42 | /responses.js(137) | 71Gj0MXYK5nDWbAA94B12XD2fD3dOZqf | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signIn | Request : {} | Error : Bad Request
13/4/2022 6:42 | /responses.js(137) | 9NzRvJEo75lQvaNwOFJF4EX6mrg50KDj | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signIn | Request : {} | Error : Bad Request
13/4/2022 6:43 | /responses.js(137) | ShQ29l456eDRyEMs9dUVjk7ZrZyyJX9P | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signIn | Request : {} | Error : Bad Request
13/4/2022 6:44 | /responses.js(137) | I0KpzCwkljMiWHJK1q5OYqkv3iNWfncU | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signIn | Request : {} | Error : Bad Request
13/4/2022 6:44 | /responses.js(137) | YEOyKtsPtCOfgCYUNN0UwTJW7i3TQdo8 | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/forgetPassword | Request : {} | Error : Bad Request
13/4/2022 6:44 | /responses.js(137) | W91srMdtr9AfijKr6iDoiqZLSYJjSd5N | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/forgetPassword | Request : {} | Error : Bad Request
13/4/2022 7:35 | /responses.js(137) | wZckFourpMvIybp568HcN5dwsh4SkrUW | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/createUserByStaff | Request : {} | Error : Bad Request
13/4/2022 7:35 | /responses.js(137) | X9ytfgJiDLFo5UiBFqC6AKjJZT634ZuP | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/createUserByStaff | Request : {} | Error : Bad Request
13/4/2022 7:35 | /responses.js(137) | dDg1I8QSyFbRyzswxq6o5u6nIYabFugC | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/createUserByStaff | Request : {} | Error : Bad Request
13/4/2022 7:35 | /responses.js(137) | DmaR6w14AxfYo7PGxsTMKPaynNlhgcRY | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/createUserByStaff | Request : {} | Error : Bad Request
13/4/2022 7:35 | /responses.js(137) | VBLLgdRQmGVOem0TYLit0cyFxBoIIonS | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/createUserByStaff | Request : {} | Error : Bad Request
13/4/2022 7:35 | /responses.js(137) | DYOiLnV6r2cWB3IPLiRSkCIqy0VZAWIb | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/createUserByStaff | Request : {} | Error : Bad Request
13/4/2022 7:40 | /responses.js(137) | wBjHsjQHLQ7fMZ7CPoGO6x8R2adUISku | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/createAdmin | Request : {} | Error : Bad Request
13/4/2022 7:40 | /responses.js(137) | 8enxBh0tgcod7rl7NgvED7ARlzzgEZn2 | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/createAdmin | Request : {} | Error : Bad Request
13/4/2022 7:40 | /responses.js(137) | Sb7yDcZjGCDeBjs2K6JfXibT6NSCCF9W | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/createAdmin | Request : {} | Error : Bad Request
13/4/2022 7:40 | /responses.js(137) | FnLFP9CQoCsWCqVBuS0EZyqRQfKcHKO3 | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/createAdmin | Request : {} | Error : Bad Request
13/4/2022 7:40 | /responses.js(137) | 02RQaK9sMyixhRKN7NeVaoo291hTOHxe | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/createAdmin | Request : {} | Error : Bad Request
13/4/2022 7:41 | /responses.js(137) | BcK0jKmwNZSxjWV0qB0q9ggklMP022no | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/createAdmin | Request : {} | Error : Bad Request
13/4/2022 10:11 | /responses.js(137) | Rp14H1wb0muP38Pko2jouxgTRAirUA2s | [error] | URL : http://doodlebluelive.com:2122/api/v1/roles/addRole | Request : {} | Error : Bad Request
13/4/2022 10:11 | /responses.js(137) | 1mJDsp2njOSdYg7Mq2B6xnChzHmDAjjV | [error] | URL : http://doodlebluelive.com:2122/api/v1/roles/addRole | Request : {} | Error : Bad Request
13/4/2022 10:16 | /responses.js(137) | NKPFiGduA5CjS83dMdbBj6MLArVupi45 | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signup | Request : {} | Error : Bad Request
13/4/2022 10:17 | /responses.js(137) | 8pP4bJ0aK1L7rCRDeDIfUHHqxlPWEzmv | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signup | Request : {} | Error : Bad Request
13/4/2022 10:17 | /responses.js(137) | ggZmz8CBYvdT2NHuU8p0T5th0CNG8n6X | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signup | Request : {} | Error : Bad Request
13/4/2022 10:17 | /responses.js(137) | ufaqrHQ0fFgaAwDByAlKZxxP3iQTuLWg | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signup | Request : {} | Error : Bad Request
13/4/2022 10:18 | /responses.js(137) | lOC2kuQLTx4LEpzL479DHuKD6s903skN | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signup | Request : {} | Error : Bad Request
13/4/2022 10:59 | /responses.js(137) | JBmBYdik7xLUuKkTDD919KZZXsCehBKO | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signup | Request : {} | Error : Bad Request
13/4/2022 10:59 | /responses.js(137) | 8zRJC7nZUcTYJfe8HzbPvHuMBWiFs2Pv | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signup | Request : {} | Error : Bad Request
13/4/2022 10:59 | /responses.js(137) | Y4ihoYtM5upsw9LLm3MmvYiBXTEIyw9r | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signup | Request : {} | Error : Bad Request
13/4/2022 11:35 | /responses.js(137) | O8ywTd2REB0CeEMqeTVWGF9sqcysY2fM | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signup | Request : {} | Error : Bad Request
13/4/2022 11:36 | /responses.js(137) | 8zmGWs45JkCDnLhNP1qcECW28btRw49I | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signup | Request : {} | Error : Bad Request
13/4/2022 11:37 | /responses.js(137) | IvmcwDa01KfpGbX61PsCubmQF7W26T3P | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signup | Request : {} | Error : Bad Request
13/4/2022 11:38 | /responses.js(137) | oQAuKHt3stBu7vqRUcBKPhPId2DVwT2E | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signup | Request : {} | Error : Bad Request
13/4/2022 12:09 | /responses.js(137) | JPR7WOkws9FcH9ViOIqDBJfBFCXMjVu3 | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signup | Request : {} | Error : Bad Request
13/4/2022 12:09 | /responses.js(137) | cioRduE5X475au9Ci7XOt2UolXNXgKZH | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signup | Request : {} | Error : Bad Request
13/4/2022 12:09 | /responses.js(137) | dJtAVKh0D2sZv9WFP4nRa3uhhfzIQy9X | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signup | Request : {} | Error : Bad Request
13/4/2022 12:09 | /responses.js(137) | nuAfS51wQmYgXdblnz2l2V3wOoIdQ55h | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signup | Request : {} | Error : Bad Request
13/4/2022 12:10 | /responses.js(137) | c1b4IxytKm0cLidhqcJZpqoQcA6IX6gl | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signup | Request : {} | Error : Bad Request
13/4/2022 13:00 | /responses.js(137) | xRRyndrmOKFoP2lTRDUENh7etcsvoPMZ | [error] | URL : http://doodlebluelive.com:2122/api/v1/roles/addRole | Request : {} | Error : Bad Request
13/4/2022 13:00 | /responses.js(137) | FhDJBUdf3uXujuJtE4BAKVhEB31IIkLT | [error] | URL : http://doodlebluelive.com:2122/api/v1/roles/addRole | Request : {} | Error : Bad Request
13/4/2022 13:54 | /responses.js(137) | wih0yF3fISqmqDpAeFcyWQfJxBkzQQLd | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/editAdmin?id=6235953d078554e8eb49e52f | Request : {} | Error : Bad Request
