20/6/2022 8:03 | /errorHandler.js(7) | RB8A61hWbqhKv9Qlry7igPnt4ZLbSMSO | [error] | IP - ::ffff:103.88.59.233 | URL : http://doodlebluelive.com:2122/api/v1/user/downloadReport | GET | Request : {} | Error : {}
20/6/2022 8:04 | /errorHandler.js(7) | tUl56bATYMsXlS1iRFeWBIRn20xzepPJ | [error] | IP - ::ffff:103.88.59.233 | URL : http://doodlebluelive.com:2122/api/v1/user/downloadReport | GET | Request : {} | Error : {}
20/6/2022 8:05 | /errorHandler.js(7) | exfvAPC5GocVJNf9mZvOPfAT30Rfd1O0 | [error] | IP - ::ffff:103.88.59.233 | URL : http://doodlebluelive.com:2122/api/v1/user/downloadReport | GET | Request : {} | Error : {}
20/6/2022 8:07 | /errorHandler.js(7) | nizgZ9fddLPqs17wPm6bZLJQobHWRoMF | [error] | IP - ::ffff:103.88.59.233 | URL : http://doodlebluelive.com:2122/api/v1/user/downloadReport | GET | Request : {} | Error : {}
20/6/2022 8:09 | /errorHandler.js(7) | GwHrXgeWO3kFi2gIbXpvFnJwdnezCLNs | [error] | IP - ::ffff:103.88.59.233 | URL : http://doodlebluelive.com:2122/api/v1/user/downloadReport | GET | Request : {} | Error : {}
20/6/2022 8:10 | /errorHandler.js(7) | Aibo56zd4XJkCflX4AgI2b36I0M638Il | [error] | IP - ::ffff:103.88.59.233 | URL : http://doodlebluelive.com:2122/api/v1/user/downloadReport | GET | Request : {} | Error : {}
20/6/2022 8:11 | /errorHandler.js(7) | tQbYDELTaVcmnINqqlpv1inGUSONfdhn | [error] | IP - ::ffff:103.88.59.233 | URL : http://doodlebluelive.com:2122/api/v1/user/downloadReport | GET | Request : {} | Error : {}
20/6/2022 8:12 | /errorHandler.js(7) | Zhpcv5b3FpD9Fm66F9MpGZupUxMAxpAn | [error] | IP - ::ffff:103.88.59.233 | URL : http://doodlebluelive.com:2122/api/v1/user/downloadReport | GET | Request : {} | Error : {}
20/6/2022 8:12 | /errorHandler.js(7) | QstYrpITxZxY2IdhzFOo0nA1AlSURFxg | [error] | IP - ::ffff:103.88.59.233 | URL : http://doodlebluelive.com:2122/api/v1/user/downloadReport | GET | Request : {} | Error : {}
20/6/2022 8:14 | /errorHandler.js(7) | moSlIf5ginEHVz8sN4oCsRXjibevhSbi | [error] | IP - ::ffff:103.88.59.233 | URL : http://doodlebluelive.com:2122/api/v1/user/downloadReport | GET | Request : {} | Error : {}
20/6/2022 8:15 | /errorHandler.js(7) | zTYtXRSHlGBqcGynwoBACKrV7cXNJzbv | [error] | IP - ::ffff:103.88.59.233 | URL : http://doodlebluelive.com:2122/api/v1/user/downloadReport | GET | Request : {} | Error : {}
20/6/2022 8:15 | /errorHandler.js(7) | 3FaqX4sCgZeWCm8k0897yKNvER0u0XLQ | [error] | IP - ::ffff:103.88.59.233 | URL : http://doodlebluelive.com:2122/api/v1/user/downloadReport | GET | Request : {} | Error : {}
20/6/2022 8:16 | /errorHandler.js(7) | 09t0GVVABo6HRrOlt6f562Vspd4De6VS | [error] | IP - ::ffff:103.88.59.233 | URL : http://doodlebluelive.com:2122/api/v1/user/downloadReport | GET | Request : {} | Error : {}
20/6/2022 8:21 | /errorHandler.js(7) | qxSuOtejjYgQzG1sOgzKP6oJyz2g0eo6 | [error] | IP - ::ffff:103.88.59.233 | URL : http://doodlebluelive.com:2122/api/v1/user/downloadReport | GET | Request : {} | Error : {}
20/6/2022 8:26 | /errorHandler.js(7) | i50FznLCLTHURz7YUNvllCqEwuYuVbVu | [error] | IP - ::ffff:103.88.59.233 | URL : http://doodlebluelive.com:2122/api/v1/user/downloadReport | GET | Request : {} | Error : {}
20/6/2022 8:28 | /errorHandler.js(7) | upwRgpTI6ekEzo7UHyKkPvUVftGckfal | [error] | IP - ::ffff:103.88.59.233 | URL : http://doodlebluelive.com:2122/api/v1/user/downloadReport | GET | Request : {} | Error : {}
20/6/2022 8:36 | /errorHandler.js(7) | i77vvwp0DXpnKOKfW9g9bfEtzPWnoP1g | [error] | IP - ::ffff:103.88.59.233 | URL : http://doodlebluelive.com:2122/api/v1/user/downloadReport | GET | Request : {} | Error : {}
20/6/2022 18:16 | /responses.js(137) | wg35KcktzvVOArnbWSTbAoIudvYFomRK | [error] | URL : http://doodlebluelive.com:2122/api/v1/user/signIn | Request : {} | Error : Bad Request
